Playlist_ID,Name,URL,Created,Tracks,Promoted_Song,Propias_At
PL1,"Balada Folk Latino: Nostalgia, Raíces y Hogar",https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp,2026-06-03,80,Mamá si vuelvo a verte,#5/#25/#45/#65
PL2,"Indie Pop Épico: Triunfo y Transformación",https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH,2026-06-05,80,Pequeña Era,#5/#25/#45/#65
PL3,"Chamber Pop: Belleza, Deseo y Perfección",https://open.spotify.com/playlist/6FcMmsR9dDSh6C1ex6uBpn,2026-06-05,80,Mármol Que Respira,#5/#25/#45/#65
PL4,"Indie Pop Español Nocturno",https://open.spotify.com/playlist/0xYL9FQ8OQbuQjj3nasdwe,2026-06-05,80,Mármol Que Respira,#5/#25/#45/#65
PL5,"Power Pop Español 2026",https://open.spotify.com/playlist/5q6fxHK29sagR0tYFOu9kr,2026-06-05,80,Mármol Que Respira,#5/#25/#45/#65
PL6,"Indie Folk Acústico | Relax",https://open.spotify.com/playlist/27oxgNoamox1ObHZ6zy8SP,2026-06-05,80,Mármol Que Respira,#5/#25/#45/#65
PL7,"Rock Alternativo Español",https://open.spotify.com/playlist/5p7Kw5YSh84gGdqkAmvdYe,2026-06-05,80,Mármol Que Respira,#5/#25/#45/#65
PL8,"Baroque Pop y Violín Clásico",https://open.spotify.com/playlist/5s5Y9NbXHE2wDVRG4TjeYx,2026-06-05,80,La Magia del Violín,#5/#25/#45/#65
PL9,"Chamber Pop Romántico",https://open.spotify.com/playlist/6lLoS2IgUOpnro5n8eHjko,2026-06-05,80,La Magia del Violín,#5/#25/#45/#65
PL10,"Orquesta y Pop Cinematográfico",https://open.spotify.com/playlist/20vWLCcJhYaz6eFdLEH45Q,2026-06-05,80,La Magia del Violín,#5/#25/#45/#65
PL11,"Clásico Contemporáneo y Violín",https://open.spotify.com/playlist/6qt7OIBA4ezjCSvPKKL3XM,2026-06-05,80,La Magia del Violín,#5/#25/#45/#65
PL12,"Indie Classical Para Estudiar",https://open.spotify.com/playlist/3xriljiq3yk8Lko2SAwcis,2026-06-05,80,La Magia del Violín,#5/#25/#45/#65
